investigation_type,injury_severity,aircraft_damage,aircraft_category,make,model,amateur_built,number_of_engines,engine_type,purpose_of_flight,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,broad_phase_of_flight,report_status,state,year,month,day,human_error,make_model
incident,incident,minor,airplane,boeing,DC9,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,84.0,VMC,takeoff,Probable Cause,ID,1982,7,5,False,boeing DC9
incident,incident,unknown,airplane,boeing,DC9,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,22.0,VMC,descent,Probable Cause,ID,1982,12,1,False,boeing DC9
accident,non-fatal,unknown,unknown,boeing,DC10,no,3.0,turbo fan,commercial flight,0.0,1.0,0.0,282.0,VMC,cruise,Probable Cause,ID,1990,8,3,False,boeing DC10
incident,incident,minor,unknown,boeing,727,no,3.0,turbo fan,commercial flight,0.0,0.0,0.0,130.0,IMC,landing,Probable Cause,ID,1995,12,7,False,boeing 727
incident,incident,minor,airplane,boeing,737,no,2.0,turbo jet,commercial flight,0.0,0.0,0.0,119.0,IMC,approach,Probable Cause,CA,1982,2,15,False,boeing 737
incident,incident,unknown,airplane,boeing,DC-9-,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,68.0,VMC,standing,Probable Cause,CA,1982,3,10,False,boeing DC-9-
accident,non-fatal,substantial,airplane,boeing,DC1010,no,3.0,turbo fan,commercial flight,0.0,0.0,25.0,113.0,VMC,taxi,Probable Cause,CA,1982,5,26,False,boeing DC1010
incident,incident,minor,unknown,boeing,767,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,159.0,VMC,descent,Probable Cause,CA,1983,1,23,False,boeing 767
incident,incident,minor,airplane,lockheed,L1011,no,3.0,turbo fan,commercial flight,0.0,0.0,0.0,588.0,VMC,standing,Probable Cause,CA,1983,3,18,False,lockheed L1011
incident,incident,minor,airplane,boeing,747,no,4.0,turbo fan,commercial flight,0.0,0.0,0.0,588.0,VMC,taxi,Probable Cause,CA,1983,3,18,False,boeing 747
incident,incident,minor,unknown,boeing,727,no,3.0,turbo fan,commercial flight,0.0,0.0,1.0,133.0,VMC,taxi,Probable Cause,CA,1983,7,2,False,boeing 727
incident,incident,unknown,unknown,boeing,DC-9-,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,79.0,VMC,takeoff,Probable Cause,CA,1983,9,27,False,boeing DC-9-
incident,incident,minor,unknown,boeing,767,no,2.0,turbo jet,commercial flight,0.0,0.0,0.0,104.0,VMC,taxi,Probable Cause,CA,1983,11,2,False,boeing 767
incident,incident,minor,unknown,boeing,707,no,4.0,turbo fan,commercial flight,0.0,0.0,0.0,165.0,VMC,landing,Probable Cause,CA,1983,12,29,False,boeing 707
incident,incident,unknown,unknown,boeing,DC9,no,2.0,turbo jet,commercial flight,0.0,0.0,4.0,29.0,VMC,approach,Probable Cause,CA,1984,1,10,False,boeing DC9
incident,incident,unknown,unknown,boeing,DC-9-,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,98.0,VMC,climb,Probable Cause,CA,1984,2,17,False,boeing DC-9-
incident,incident,minor,unknown,boeing,747,no,4.0,turbo fan,commercial flight,0.0,0.0,0.0,1.0,unknown,takeoff,Probable Cause,CA,1984,5,11,False,boeing 747
incident,incident,unknown,unknown,boeing,DC10,no,3.0,turbo fan,commercial flight,0.0,0.0,0.0,212.0,VMC,takeoff,Probable Cause,CA,1984,6,10,False,boeing DC10
incident,incident,minor,unknown,boeing,747,no,4.0,turbo fan,commercial flight,0.0,0.0,0.0,4.0,VMC,approach,Probable Cause,CA,1984,6,11,False,boeing 747
accident,non-fatal,substantial,airplane,lockheed,L1011,no,3.0,turbo fan,commercial flight,0.0,0.0,0.0,157.0,VMC,takeoff,Probable Cause,CA,1984,6,11,False,lockheed L1011
incident,incident,minor,unknown,boeing,747,no,4.0,turbo fan,commercial flight,0.0,0.0,0.0,365.0,VMC,taxi,Probable Cause,CA,1984,11,1,False,boeing 747
accident,non-fatal,substantial,unknown,boeing,747,no,4.0,turbo fan,commercial flight,0.0,2.0,0.0,271.0,IMC,cruise,Probable Cause,CA,1985,2,19,False,boeing 747
incident,incident,unknown,unknown,boeing,DC9,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,158.0,VMC,approach,Probable Cause,CA,1985,3,15,False,boeing DC9
